Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
8.69,8.69,0.0,-0.251,8.94,0.059,-0.113,0.008,0.104,8.693,0.076,8.775,8.677,9.099,9.619,8.933
8.63,8.628,0.003,-0.366,8.997,0.0,0.059,-0.113,0.008,8.576,0.032,8.69,8.775,8.677,9.099,8.983
8.61,8.719,-0.104,-0.539,9.153,0.003,0.0,0.059,-0.113,8.613,-0.01,8.631,8.69,8.775,8.677,9.147
9.22,9.178,0.041,-0.174,9.392,-0.104,0.003,0.0,0.059,9.024,0.159,8.615,8.631,8.69,8.775,9.394
10.05,9.924,0.126,0.359,9.691,0.041,-0.104,0.003,0.0,9.78,0.126,9.219,8.615,8.631,8.69,9.68
10.32,10.544,-0.225,0.296,10.023,0.126,0.041,-0.104,0.003,10.542,-0.141,10.05,9.219,8.615,8.631,10.018
10.77,10.7,0.067,0.403,10.364,-0.225,0.126,0.041,-0.104,10.723,0.15,10.319,10.05,9.219,8.615,10.362
10.56,10.452,0.106,-0.12,10.679,0.067,-0.225,0.126,0.041,10.514,0.15,10.767,10.319,10.05,9.219,10.689
10.25,10.312,-0.062,-0.679,10.93,0.106,0.067,-0.225,0.126,10.185,-0.07,10.558,10.767,10.319,10.05,10.94
10.46,10.633,-0.169,-0.631,11.096,-0.062,0.106,0.067,-0.225,10.575,-0.06,10.251,10.558,10.767,10.319,11.099
11.39,11.201,0.19,0.203,11.188,-0.169,-0.062,0.106,0.067,11.147,0.257,10.465,10.251,10.558,10.767,11.175
11.57,11.503,0.062,0.338,11.227,0.19,-0.169,-0.062,0.106,11.534,0.034,11.391,10.465,10.251,10.558,11.235
11.28,11.453,-0.173,0.045,11.235,0.062,0.19,-0.169,-0.062,11.377,-0.206,11.566,11.391,10.465,10.251,11.236
11.34,11.378,-0.042,0.104,11.232,-0.173,0.062,0.19,-0.169,11.394,0.045,11.28,11.566,11.391,10.465,11.235
11.8,11.475,0.329,0.567,11.238,-0.042,-0.173,0.062,0.19,11.484,0.25,11.337,11.28,11.566,11.391,11.238
11.36,11.616,-0.252,0.098,11.265,0.329,-0.042,-0.173,0.062,11.615,-0.27,11.805,11.337,11.28,11.566,11.264
11.63,11.623,0.01,0.307,11.326,-0.252,0.329,-0.042,-0.173,11.626,-0.042,11.364,11.805,11.337,11.28,11.321
11.44,11.379,0.066,0.016,11.429,0.01,-0.252,0.329,-0.042,11.534,0.106,11.633,11.364,11.805,11.337,11.421
11.27,11.128,0.144,-0.313,11.585,0.066,0.01,-0.252,0.329,10.996,0.053,11.445,11.633,11.364,11.805,11.576
11.06,11.293,-0.234,-0.739,11.798,0.144,0.066,0.01,-0.252,11.166,-0.247,11.272,11.445,11.633,11.364,11.793
12.1,12.031,0.073,0.052,12.052,-0.234,0.144,0.066,0.01,11.83,0.074,11.059,11.272,11.445,11.633,12.06
12.93,12.877,0.052,0.601,12.327,0.073,-0.234,0.144,0.066,12.867,0.131,12.104,11.059,11.272,11.445,12.319
13.32,13.294,0.026,0.718,12.601,0.052,0.073,-0.234,0.144,13.222,0.009,12.928,12.104,11.059,11.272,12.601
13.12,13.264,-0.143,0.267,12.854,0.026,0.052,0.073,-0.234,13.278,-0.108,13.319,12.928,12.104,11.059,12.856
13.24,13.181,0.055,0.167,13.068,-0.143,0.026,0.052,0.073,13.162,0.124,13.122,13.319,12.928,12.104,13.072
13.24,13.191,0.045,-0.003,13.239,0.055,-0.143,0.026,0.052,13.3,0.13,13.235,13.122,13.319,12.928,13.237
13.03,13.135,-0.105,-0.337,13.367,0.045,0.055,-0.143,0.026,13.146,-0.007,13.236,13.235,13.122,13.319,13.374
12.96,12.976,-0.012,-0.487,13.451,-0.105,0.045,0.055,-0.143,12.962,0.096,13.03,13.236,13.235,13.122,13.457
12.9,12.869,0.034,-0.588,13.491,-0.012,-0.105,0.045,0.055,12.875,0.15,12.964,13.03,13.236,13.235,13.498
12.77,12.878,-0.112,-0.72,13.486,0.034,-0.012,-0.105,0.045,12.902,0.078,12.903,12.964,13.03,13.236,13.494
12.9,12.872,0.026,-0.539,13.438,-0.112,0.034,-0.012,-0.105,12.9,0.181,12.766,12.903,12.964,13.03,13.445
12.74,12.696,0.046,-0.603,13.345,0.026,-0.112,0.034,-0.012,12.766,0.133,12.898,12.766,12.903,12.964,13.356
12.32,12.46,-0.142,-0.891,13.21,0.046,0.026,-0.112,0.034,12.428,0.006,12.742,12.898,12.766,12.903,13.218
12.42,12.379,0.039,-0.62,13.039,-0.142,0.046,0.026,-0.112,12.38,0.171,12.318,12.742,12.898,12.766,13.045
12.54,12.495,0.048,-0.301,12.844,0.039,-0.142,0.046,0.026,12.475,0.139,12.419,12.318,12.742,12.898,12.848
12.68,12.735,-0.059,0.034,12.642,0.048,0.039,-0.142,0.046,12.633,0.007,12.543,12.419,12.318,12.742,12.646
13.0,13.018,-0.015,0.555,12.448,-0.059,0.048,0.039,-0.142,12.968,0.035,12.676,12.543,12.419,12.318,12.45
13.3,13.171,0.127,1.02,12.277,-0.015,-0.059,0.048,0.039,13.244,0.081,13.003,12.676,12.543,12.419,12.277
12.84,12.993,-0.149,0.699,12.145,0.127,-0.015,-0.059,0.048,13.096,-0.108,13.298,13.003,12.676,12.543,12.143
12.71,12.554,0.151,0.65,12.055,-0.149,0.127,-0.015,-0.059,12.601,0.074,12.844,13.298,13.003,12.676,12.058
12.18,12.184,0.0,0.175,12.008,0.151,-0.149,0.127,-0.015,12.208,-0.09,12.705,12.844,13.298,13.003,12.008
12.21,12.24,-0.035,0.203,12.002,0.0,0.151,-0.149,0.127,12.105,-0.121,12.183,12.705,12.844,13.298,11.996
12.6,12.594,0.007,0.564,12.038,-0.035,0.0,0.151,-0.149,12.636,-0.032,12.205,12.183,12.705,12.844,12.033
12.84,12.737,0.107,0.73,12.115,0.007,-0.035,0.0,0.151,12.799,0.019,12.602,12.205,12.183,12.705,12.109
12.5,12.48,0.017,0.263,12.234,0.107,0.007,-0.035,0.0,12.478,-0.125,12.845,12.602,12.205,12.183,12.228
12.1,12.17,-0.074,-0.298,12.394,0.017,0.107,0.007,-0.035,12.161,-0.183,12.497,12.845,12.602,12.205,12.387
12.2,12.166,0.03,-0.4,12.596,-0.074,0.017,0.107,0.007,12.168,-0.005,12.096,12.497,12.845,12.602,12.588
12.55,12.422,0.129,-0.29,12.84,0.03,-0.074,0.017,0.107,12.369,0.045,12.196,12.096,12.497,12.845,12.832
12.62,12.727,-0.111,-0.502,13.118,0.129,0.03,-0.074,0.017,12.631,-0.162,12.55,12.196,12.096,12.497,13.114
13.1,13.096,0.007,-0.302,13.405,-0.111,0.129,0.03,-0.074,12.937,-0.029,12.616,12.55,12.196,12.096,13.412
13.69,13.612,0.076,0.015,13.673,0.007,-0.111,0.129,0.03,13.525,0.056,13.103,12.616,12.55,12.196,13.674
14.1,14.144,-0.041,0.209,13.893,0.076,0.007,-0.111,0.129,14.098,-0.038,13.688,13.103,12.616,12.55,13.902
14.39,14.369,0.025,0.356,14.038,-0.041,0.076,0.007,-0.111,14.437,-0.016,14.102,13.688,13.103,12.616,14.048
14.08,14.169,-0.09,-0.003,14.083,0.025,-0.041,0.076,0.007,14.222,-0.029,14.393,14.102,13.688,13.103,14.095
14.05,13.856,0.199,0.025,14.029,-0.09,0.025,-0.041,0.076,13.844,0.135,14.08,14.393,14.102,13.688,14.03
13.51,13.709,-0.197,-0.37,13.883,0.199,-0.09,0.025,-0.041,13.785,-0.153,14.054,14.08,14.393,14.102,13.901
13.71,13.71,0.0,0.053,13.657,-0.197,0.199,-0.09,0.025,13.708,0.076,13.512,14.054,14.08,14.393,13.665
13.74,13.568,0.175,0.348,13.394,0.0,-0.197,0.199,-0.09,13.696,0.174,13.71,13.512,14.054,14.08,13.382
13.14,13.236,-0.094,-0.005,13.147,0.175,0.0,-0.197,0.199,13.214,-0.116,13.742,13.71,13.512,14.054,13.143
12.87,12.954,-0.086,-0.077,12.945,-0.094,0.175,0.0,-0.197,12.99,-0.065,13.142,13.742,13.71,13.512,12.956
12.85,12.783,0.064,0.043,12.804,-0.086,-0.094,0.175,0.0,12.891,0.135,12.868,13.142,13.742,13.71,12.802
12.73,12.633,0.099,-0.006,12.738,0.064,-0.086,-0.094,0.175,12.621,0.104,12.847,12.868,13.142,13.742,12.73
12.52,12.575,-0.059,-0.235,12.751,0.099,0.064,-0.086,-0.094,12.479,-0.126,12.732,12.847,12.868,13.142,12.744
12.6,12.754,-0.155,-0.214,12.813,-0.059,0.099,0.064,-0.086,12.712,-0.093,12.516,12.732,12.847,12.868,12.833
13.23,13.041,0.189,0.348,12.883,-0.155,-0.059,0.099,0.064,13.053,0.238,12.599,12.516,12.732,12.847,12.883
13.09,13.095,0.0,0.174,12.921,0.189,-0.155,-0.059,0.099,13.156,0.012,13.23,12.599,12.516,12.732,12.932
12.92,12.931,-0.014,0.021,12.896,0.0,0.189,-0.155,-0.059,12.857,-0.121,13.095,13.23,12.599,12.516,12.901
12.63,12.785,-0.151,-0.177,12.811,-0.014,0.0,0.189,-0.155,12.866,-0.1,12.917,13.095,13.23,12.599,12.799
12.83,12.687,0.139,0.139,12.687,-0.151,-0.014,0.0,0.189,12.76,0.22,12.634,12.917,13.095,13.23,12.69
12.54,12.441,0.1,-0.005,12.547,0.139,-0.151,-0.014,0.0,12.54,0.068,12.826,12.634,12.917,13.095,12.545
12.1,12.247,-0.142,-0.308,12.413,0.1,0.139,-0.151,-0.014,12.057,-0.213,12.542,12.826,12.634,12.917,12.416
12.36,12.388,-0.025,0.056,12.307,-0.142,0.1,0.139,-0.151,12.413,-0.021,12.105,12.542,12.826,12.634,12.305
12.6,12.526,0.078,0.359,12.244,-0.025,-0.142,0.1,0.139,12.712,0.151,12.363,12.105,12.542,12.826,12.239
12.21,12.215,-0.002,-0.021,12.233,0.078,-0.025,-0.142,0.1,12.246,0.051,12.604,12.363,12.105,12.542,12.229
11.99,11.815,0.173,-0.248,12.235,-0.002,0.078,-0.025,-0.142,11.646,-0.039,12.212,12.604,12.363,12.105,12.27
11.68,11.96,-0.281,-0.519,12.198,0.173,-0.002,0.078,-0.025,11.926,-0.317,11.988,12.212,12.604,12.363,12.209
12.47,12.436,0.034,0.373,12.097,-0.281,0.173,-0.002,0.078,12.532,0.146,11.679,11.988,12.212,12.604,12.092
12.49,12.296,0.199,0.562,11.933,0.034,-0.281,0.173,-0.002,12.55,0.26,12.47,11.679,11.988,12.212,11.934
11.79,11.598,0.191,0.065,11.725,0.199,0.034,-0.281,0.173,11.384,-0.117,12.495,12.47,11.679,11.988,11.72
10.9,11.425,-0.522,-0.585,11.488,0.191,0.199,0.034,-0.281,11.288,-0.557,11.79,12.495,12.47,11.679,11.501
12.19,11.933,0.255,0.941,11.247,-0.522,0.191,0.199,0.034,12.15,0.302,10.904,11.79,12.495,12.47,11.243
11.98,11.777,0.202,0.927,11.051,0.255,-0.522,0.191,0.199,12.222,0.237,12.188,10.904,11.79,12.495,11.026
10.67,10.633,0.042,-0.282,10.956,0.202,0.255,-0.522,0.191,10.4,-0.254,11.978,12.188,10.904,11.79,10.939
9.7,10.07,-0.374,-1.32,11.016,0.042,0.202,0.255,-0.522,9.783,-0.478,10.674,11.978,12.188,10.904,10.987
11.42,11.175,0.243,0.172,11.246,-0.374,0.042,0.202,0.255,11.005,0.25,9.697,10.674,11.978,12.188,11.244
12.69,12.674,0.015,1.119,11.571,0.243,-0.374,0.042,0.202,12.835,0.159,11.418,9.697,10.674,11.978,11.616
13.06,12.824,0.234,1.164,11.894,0.015,0.243,-0.374,0.042,12.839,-0.047,12.689,11.418,9.697,10.674,11.895
11.52,11.857,-0.336,-0.603,12.124,0.234,0.015,0.243,-0.374,11.828,-0.5,13.059,12.689,11.418,9.697,12.146
11.51,11.499,0.013,-0.675,12.187,-0.336,0.234,0.015,0.243,11.292,0.062,11.521,13.059,12.689,11.418,12.192
12.42,12.08,0.337,0.347,12.069,0.013,-0.336,0.234,0.015,12.39,0.317,11.512,11.521,13.059,12.689,12.062
12.16,12.353,-0.193,0.379,11.781,0.337,0.013,-0.336,0.234,12.414,-0.262,12.416,11.512,11.521,13.059,11.808
11.67,11.733,-0.062,0.27,11.401,-0.193,0.337,0.013,-0.336,11.694,-0.152,12.16,12.416,11.512,11.521,11.365
11.15,10.979,0.167,0.058,11.088,-0.062,-0.193,0.337,0.013,11.03,0.094,11.671,12.16,12.416,11.512,11.03
10.77,10.818,-0.045,-0.24,11.013,0.167,-0.062,-0.193,0.337,10.9,-0.047,11.146,11.671,12.16,12.416,10.966
10.93,11.136,-0.206,-0.299,11.229,-0.045,0.167,-0.062,-0.193,11.016,-0.068,10.773,11.146,11.671,12.16,11.259
12.14,11.506,0.634,0.419,11.721,-0.206,-0.045,0.167,-0.062,11.411,0.265,10.93,10.773,11.146,11.671,11.686
11.2,11.898,-0.703,-1.246,12.442,0.634,-0.206,-0.045,0.167,11.706,-0.67,12.14,10.93,10.773,11.146,12.434
12.95,12.828,0.12,-0.367,13.316,-0.703,0.634,-0.206,-0.045,12.362,0.274,11.196,12.14,10.93,10.773,13.292
14.88,14.276,0.603,0.683,14.196,0.12,-0.703,0.634,-0.206,14.192,0.428,12.949,11.196,12.14,10.93,14.245
15.12,15.65,-0.526,0.207,14.917,0.603,0.12,-0.703,0.634,15.396,-0.495,14.879,12.949,11.196,12.14,14.941
16.29,16.331,-0.038,0.951,15.343,-0.526,0.603,0.12,-0.703,16.374,-0.071,15.124,14.879,12.949,11.196,15.372
16.12,15.897,0.227,0.653,15.471,-0.038,-0.526,0.603,0.12,16.323,0.311,16.294,15.124,14.879,12.949,15.425
15.27,14.856,0.418,-0.095,15.369,0.227,-0.038,-0.526,0.603,14.812,0.047,16.124,16.294,15.124,14.879,15.379
